httpRequest.latency,httpRequest.protocol,httpRequest.referer,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,"'labels.""goog-managed-by""",labels.instanceId,labels.scaling_reason,logName,protoPayload.methodName,protoPayload.resourceName,"'protoPayload.response.@type",protoPayload.response.apiVersion,protoPayload.response.kind,"'protoPayload.response.metadata.annotations.""autoscaling.knative.dev/maxScale""","'protoPayload.response.metadata.annotations.""autoscaling.knative.dev/minScale""","'protoPayload.response.metadata.annotations.""run.googleapis.com/cpu-throttling""","'protoPayload.response.metadata.annotations.""run.googleapis.com/execution-environment""","'protoPayload.response.metadata.annotations.""run.googleapis.com/ingress""","'protoPayload.response.metadata.annotations.""run.googleapis.com/operation-id""","'protoPayload.response.metadata.annotations.""run.googleapis.com/sessionAffinity""","'protoPayload.response.metadata.annotations.""run.googleapis.com/startup-cpu-boost""","'protoPayload.response.metadata.annotations.""serving.knative.dev/creator""",protoPayload.response.metadata.creationTimestamp,protoPayload.response.metadata.generation,"'protoPayload.response.metadata.labels.""cloud.googleapis.com/location""","'protoPayload.response.metadata.labels.""goog-managed-by""","'protoPayload.response.metadata.labels.""run.googleapis.com/startupProbeType""","'protoPayload.response.metadata.labels.""serving.knative.dev/configuration""","'protoPayload.response.metadata.labels.""serving.knative.dev/configurationGeneration""","'protoPayload.response.metadata.labels.""serving.knative.dev/route""","'protoPayload.response.metadata.labels.""serving.knative.dev/service""","'protoPayload.response.metadata.labels.""serving.knative.dev/serviceUid""",protoPayload.response.metadata.name,protoPayload.response.metadata.namespace,protoPayload.response.metadata.ownerReferences,protoPayload.response.metadata.resourceVersion,protoPayload.response.metadata.selfLink,protoPayload.response.metadata.uid,protoPayload.response.spec.containerConcurrency,protoPayload.response.spec.containers,protoPayload.response.spec.serviceAccountName,protoPayload.response.spec.timeoutSeconds,protoPayload.response.status.conditions,protoPayload.response.status.containerStatuses,protoPayload.response.status.imageDigest,protoPayload.response.status.logUrl,protoPayload.response.status.observedGeneration,protoPayload.serviceName,protoPayload.status.message,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,textPayload,timestamp,trace,traceSampled
0.004400154s,HTTP/1.1,"'https://sfaisolutions.com/anonymous-hubs",192.178.15.39,GET,1349,"'https://t-2616093887---sfaisolutions-frontend-gmjes64qia-uc.a.run.app/anonymous-hubs/assets/fonts/MaterialIcons-Regular.otf",222,34.143.77.2,304,Google,6911ce18000b232b8121ab78,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Frequests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:35:52.769026135Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,INFO,669ab3f870c45b7e,,"'2025-11-10T11:35:52.723775Z","'projects/cocreator-d0nbh/traces/4788c5a1f7a569c3f9f06e9825214429",
0.004154263s,HTTP/1.1,"'https://sfaisolutions.com/anonymous-hubs",74.125.215.230,GET,1367,"'https://t-2616093887---sfaisolutions-frontend-gmjes64qia-uc.a.run.app/anonymous-hubs/assets/packages/cupertino_icons/assets/CupertinoIcons.ttf",221,34.143.77.2,304,Google,6911ce18000b212d73bd36b0,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Frequests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:35:52.769026135Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,INFO,3d55f60a42209141,,"'2025-11-10T11:35:52.723277Z","'projects/cocreator-d0nbh/traces/b7dbb050b0b0674ef012756b57836d90",
0.004980619s,HTTP/1.1,"'https://sfaisolutions.com/anonymous-hubs",192.178.15.32,GET,1333,"'https://t-2616093887---sfaisolutions-frontend-gmjes64qia-uc.a.run.app/anonymous-hubs/assets/FontManifest.json",220,34.143.75.2,304,Google,6911ce1800083caafaf6fa22,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Frequests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:35:52.769026135Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,INFO,68edc2e657c750ea,,"'2025-11-10T11:35:52.532608Z","'projects/cocreator-d0nbh/traces/1168cf463f18db78e9e2cfdf262acfcf",
0.005442692s,HTTP/1.1,"'https://sfaisolutions.com/anonymous-hubs",66.102.6.9,GET,1392,"'https://t-2616093887---sfaisolutions-frontend-gmjes64qia-uc.a.run.app/anonymous-hubs/icons/Icon-192.png",222,34.143.79.2,304,Google,6911ce180002a95b15854ea2,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Frequests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:35:52.435648090Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,INFO,1f990476bb10c53d,,"'2025-11-10T11:35:52.167133Z","'projects/cocreator-d0nbh/traces/2ade4f5a00178cbb3cc3c9a32a93263a",
0.004333957s,HTTP/1.1,"'https://sfaisolutions.com/anonymous-hubs",66.102.6.131,GET,1321,"'https://t-2616093887---sfaisolutions-frontend-gmjes64qia-uc.a.run.app/anonymous-hubs/manifest.json",221,34.143.77.2,304,Google,6911ce17000ed4cc9cb3d21e,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Frequests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:35:52.103513348Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,INFO,76f9e8667e0ff4e8,,"'2025-11-10T11:35:51.965822Z","'projects/cocreator-d0nbh/traces/525e852f1e259203cdc578b0760013a7",
0.004273942s,HTTP/1.1,"'https://sfaisolutions.com/anonymous-hubs",74.125.212.141,GET,1311,"'https://t-2616093887---sfaisolutions-frontend-gmjes64qia-uc.a.run.app/anonymous-hubs/main.dart.js",224,34.143.73.2,304,Google,6911ce17000dca1eddaff622,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Frequests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:35:52.103513348Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,INFO,783dac4a4b78ebd6,,"'2025-11-10T11:35:51.897303Z","'projects/cocreator-d0nbh/traces/730410f0ada7c270168c4733519cd2d4",
0.005676889s,HTTP/1.1,"'https://sfaisolutions.com/anonymous-hubs",74.125.215.36,GET,1341,"'https://t-2616093887---sfaisolutions-frontend-gmjes64qia-uc.a.run.app/anonymous-hubs/flutter_bootstrap.js",222,34.143.73.2,304,Google,6911ce17000a7fb8bdbc0bd0,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Frequests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:35:51.771716377Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,INFO,c3800a2b70a6a898,,"'2025-11-10T11:35:51.680238Z","'projects/cocreator-d0nbh/traces/0055bffb5cdaca72a04126e5ee6c8724",
0.010035927s,HTTP/1.1,,66.102.6.8,GET,1400,"'https://t-2616093887---sfaisolutions-frontend-gmjes64qia-uc.a.run.app/anonymous-hubs",221,34.143.73.2,304,Google,6911ce170006918d58c9667f,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Frequests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:35:51.439261403Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,INFO,f0355c44521b6193,,"'2025-11-10T11:35:51.400412Z","'projects/cocreator-d0nbh/traces/b6695833f6a52a12647d507e75edddd3",true
0.035349837s,HTTP/1.1,,74.125.212.135,GET,1307,"'https://t-2616093887---sfaisolutions-frontend-gmjes64qia-uc.a.run.app/wp-admin/setup-config.php",3731,34.143.78.2,404,Google,6911cde4000890a85371e69e,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Frequests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:35:00.570112926Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,WARNING,6c22f726841a6492,,"'2025-11-10T11:35:00.520436Z","'projects/cocreator-d0nbh/traces/3522482462c8d9e01b6d283430378b29",true
0.103624388s,HTTP/1.1,,74.125.212.232,GET,1317,"'https://t-2616093887---sfaisolutions-frontend-gmjes64qia-uc.a.run.app/wordpress/wp-admin/setup-config.php",3739,34.143.73.2,404,Google,6911cdd60001acd9b634c73a,"'firebase-app-hosting",00147782969c75b33d60536dc93bc122813a3a8b28e26a05f18691878933e15d5aff5ebb684a3cca9915eb4ace1d6dbebf03d4a886daf1597624c07d38f5598adaf8e7a72cce4370319b9c0c784e,,"'projects/cocreator-d0nbh/logs/run.googleapis.com%2Frequests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'2025-11-10T11:34:46.300067667Z","'sfaisolutions-frontend","'us-central1","'cocreator-d0nbh","'sfaisolutions-frontend-build-2025-11-10-002","'sfaisolutions-frontend",cloud_run_revision,WARNING,5a9df3a5bb16df76,,"'2025-11-10T11:34:46.004288Z","'projects/cocreator-d0nbh/traces/b160f7f2f0d65de532699ebf8119405e",
